TransactionID,AccountID,TransactionType,Amount,TransactionDate
191656,531,Credit,812372.95,2022-10-11
156376,379,Credit,822100.21,2022-10-10
180567,1407,Debit,857781.05,2023-11-04
150561,1295,Debit,452160.3,2021-10-18
161812,1459,Credit,646085.06,2023-04-14
139669,261,Debit,794695.42,2021-10-20
145219,872,Debit,820688.68,2019-11-24
120571,106,Debit,694031.63,2023-12-26
109378,1145,Debit,951460.81,2024-03-13
116206,473,Debit,860149.25,2021-08-17
194506,496,Credit,746452.08,2019-10-18
137023,1322,Debit,586437.8,2024-02-16
116743,1089,Debit,534833.96,2023-09-27
180847,1040,Debit,489727.95,2020-04-04
109592,1441,Debit,462598.72,2021-11-19
193368,1142,Debit,673859.02,2023-06-18
144401,103,Debit,513630.78,2020-10-30
115179,1091,Debit,588558.91,2023-05-26
184409,403,Debit,409625.78,2022-05-02
121464,1094,Debit,478927.66,2024-01-13
103813,404,Credit,488503.01,2022-10-19
196059,849,Credit,865501.6,2020-12-23
128419,890,Debit,478078.23,2020-06-14
156659,337,Debit,55697.32,2019-09-03
188039,227,Credit,245496.72,2020-02-13
174890,339,Debit,909674.75,2021-09-11
120287,576,Debit,563593.07,2022-05-24
145372,958,Debit,390310.58,2022-03-22
159008,1235,Credit,386166.3,2020-09-21
154854,1135,Credit,200606.75,2021-09-08
130787,1023,Debit,627914.48,2022-05-29
178727,1200,Debit,892826.11,2021-02-13
137348,908,Debit,423217.55,2022-03-16
137436,778,Debit,829034.7,2020-04-04
123104,1131,Debit,753045.69,2021-08-11
196102,396,Debit,4881.17,2019-09-19
103848,223,Debit,874589.34,2022-11-30
155293,1213,Credit,590966.03,2023-10-05
171998,431,Credit,522414.49,2019-12-18
162514,861,Debit,396476.95,2019-05-23
150231,878,Debit,676483.29,2020-03-16
103674,41,Debit,715442.08,2022-03-23
102061,1178,Debit,416745.29,2020-12-11
109594,1029,Credit,503032.18,2021-11-29
119218,367,Credit,224702.79,2020-01-14
145941,653,Credit,762596.63,2020-10-10
140774,783,Debit,851499.14,2023-09-23
100556,215,Debit,456062.18,2022-12-01
110808,115,Debit,679725.28,2022-11-21
147164,219,Credit,968626.34,2020-04-19
176548,244,Debit,862004.47,2021-10-13
147003,299,Credit,63501.22,2020-06-15
105677,625,Credit,70041.41,2021-05-31
128186,1367,Debit,314075.98,2020-09-29
152596,925,Debit,805225.11,2022-10-04
117172,1222,Debit,663384.7,2019-07-09
180187,553,Credit,460680.45,2020-08-11
129266,267,Debit,175947.69,2023-02-15
186888,491,Debit,567306.82,2021-04-05
191141,841,Debit,621775.61,2023-03-23
143846,358,Debit,397741.29,2019-04-09
147339,547,Debit,474413.2,2023-06-24
186246,286,Debit,159620.05,2019-08-26
113342,1477,Debit,179340.71,2020-12-22
142844,488,Debit,167001.8,2019-07-14
158942,865,Credit,823787.87,2021-10-06
139151,435,Debit,277159.36,2023-02-09
102172,1347,Credit,149654.11,2020-12-06
183610,206,Credit,801251.77,2022-07-09
140458,607,Debit,572990.98,2023-12-25
171963,1106,Credit,152348.44,2023-12-11
135647,1398,Debit,803264.04,2021-01-22
161373,263,Credit,830629.54,2022-08-24
135922,488,Debit,795755.75,2020-11-11
198850,1082,Credit,586041.19,2020-05-24
166968,879,Debit,118151.93,2022-05-02
125590,1210,Credit,291901.18,2020-12-31
117932,1233,Debit,375271.9,2019-10-11
165732,343,Debit,148611.34,2023-02-26
139704,1136,Debit,400958.8,2020-02-15
155024,1095,Debit,955147.7,2019-05-17
134597,466,Credit,935554.94,2021-05-16
154527,120,Credit,978934.75,2020-08-23
178780,1426,Credit,339334.75,2020-08-09
148975,1342,Debit,210257.67,2020-08-22
125413,1198,Credit,772164.77,2022-08-29
114976,730,Credit,24429.25,2021-08-06
146794,154,Credit,741424.1,2021-11-12
110950,954,Credit,686284.12,2020-11-12
144232,980,Debit,309582.34,2019-05-06
145896,1348,Debit,540526.12,2021-10-04
131424,437,Credit,799200.52,2022-04-12
158579,822,Debit,563756.92,2023-04-08
186112,366,Debit,413827.85,2021-08-19
195477,895,Credit,354512.6,2019-10-14
175350,1306,Credit,157879.26,2022-02-19
185766,1140,Debit,572726.79,2023-06-25
129066,645,Debit,546047.22,2024-01-06
176088,164,Debit,551728.21,2020-12-20
111027,518,Debit,280397.27,2022-10-21
131777,108,Credit,38713.42,2023-03-07
194154,701,Credit,260109.11,2021-05-15
191967,1278,Debit,813550.69,2023-03-03
137685,1251,Credit,923489.44,2020-06-27
198892,699,Credit,753395.94,2022-07-05
126744,889,Credit,315815.09,2020-01-27
162903,1437,Debit,426694.3,2021-02-04
102822,1020,Debit,873308.86,2023-05-23
117929,1432,Credit,281992.04,2023-06-16
143190,287,Credit,905355.66,2021-01-05
161632,723,Credit,544245.93,2021-02-26
197419,1299,Credit,478982.9,2024-01-02
172706,348,Credit,61917.91,2024-04-01
101131,1224,Credit,276510.59,2019-04-16
129628,331,Debit,69399.57,2020-05-24
166292,803,Debit,830022.02,2022-03-08
117577,254,Debit,82046.12,2019-12-20
193929,1385,Debit,464084.72,2020-08-09
170616,207,Credit,709572.03,2021-03-16
105100,147,Credit,362729.37,2023-04-06
158425,1084,Debit,735235.33,2021-04-04
134117,1405,Debit,491188.43,2022-05-18
192392,320,Credit,283546.03,2024-01-22
109161,886,Credit,406278.58,2019-04-08
168837,570,Credit,270586.95,2023-07-24
149526,1113,Debit,553864.54,2020-01-27
175863,1494,Credit,823211.07,2019-07-31
196440,578,Debit,666929.87,2024-01-12
172497,1465,Credit,53417.52,2024-02-25
141465,1455,Credit,65737.74,2023-01-20
125397,947,Debit,373463.1,2020-11-20
174415,139,Debit,924340.64,2022-10-29
118190,880,Debit,154598.21,2022-10-03
170905,888,Debit,158778.25,2022-09-11
185306,1165,Credit,389606.56,2022-07-14
134241,1085,Debit,415163.92,2019-08-09
138633,533,Credit,918639.24,2023-03-28
156689,912,Debit,604866.52,2020-03-20
159448,138,Credit,758151.58,2019-10-08
165426,1469,Credit,235184.73,2019-09-19
131347,1467,Credit,524310.98,2021-09-21
135338,709,Debit,948448.59,2022-06-11
140266,401,Credit,380675.69,2019-05-11
109472,210,Debit,191413.85,2021-11-19
113646,957,Credit,488436.03,2020-08-04
169209,1246,Credit,148004.06,2022-08-27
186357,1374,Debit,331121.0,2019-07-26
128960,919,Credit,270867.48,2024-02-06
124556,651,Credit,574385.1,2022-09-07
192754,1015,Debit,185039.68,2020-11-14
170362,46,Debit,963918.45,2020-09-25
135723,837,Credit,764798.93,2019-04-06
134605,619,Debit,446593.18,2019-07-28
183621,91,Credit,440504.13,2020-10-25
111423,1489,Credit,607635.28,2023-08-03
184574,776,Credit,750199.11,2022-04-01
144895,547,Debit,116875.13,2024-03-25
192591,1064,Credit,869012.89,2019-10-09
119378,1393,Debit,333771.94,2021-01-28
171560,1416,Credit,280830.94,2022-09-26
163610,654,Debit,642701.19,2020-10-11
114667,939,Debit,76693.15,2022-10-22
185450,443,Debit,926515.16,2023-09-28
146673,132,Debit,911286.74,2022-03-23
157394,98,Debit,812619.66,2023-02-25
191936,1001,Debit,764323.77,2022-08-14
165467,785,Credit,181413.16,2020-09-29
120300,51,Credit,145367.4,2022-11-29
194045,973,Credit,697084.65,2023-09-15
134397,1250,Debit,754048.44,2019-04-13
187088,1338,Debit,982527.08,2023-06-29
198256,1135,Credit,147289.56,2020-08-27
126274,1477,Credit,849506.74,2022-11-30
166957,564,Debit,652914.86,2020-12-24
138872,1400,Debit,678059.9,2020-09-11
100005,1248,Credit,899571.11,2020-08-29
179884,102,Credit,183085.99,2019-10-02
130844,277,Credit,412664.13,2022-06-08
189704,5,Credit,92803.26,2024-01-10
178068,295,Debit,586251.06,2021-12-05
179568,1018,Debit,108305.37,2023-01-21
105012,972,Debit,189449.26,2019-12-26
108293,690,Debit,189375.2,2022-02-25
146943,1209,Debit,537635.92,2019-08-17
113323,489,Credit,769011.25,2022-06-13
174020,13,Debit,935722.68,2021-06-17
110242,1187,Debit,360207.9,2020-11-24
187636,491,Credit,665387.17,2019-11-24
183524,960,Credit,213252.66,2019-09-02
126040,801,Debit,338703.98,2019-08-02
154504,67,Credit,429877.22,2021-06-19
190229,341,Credit,917105.78,2022-06-01
120963,1114,Debit,605717.5,2023-12-02
177991,1206,Debit,590163.78,2019-12-27
176787,5,Debit,101060.88,2023-07-03
131120,1197,Credit,358091.67,2020-04-15
133174,523,Credit,772367.94,2022-03-03
155370,517,Debit,269919.95,2022-08-24
123856,970,Debit,83078.96,2021-09-10
116446,307,Credit,701658.33,2019-12-12
115927,1451,Credit,653482.62,2023-05-21
115574,93,Debit,885392.1,2022-09-28
110960,1373,Credit,651331.09,2023-01-06
149323,13,Credit,187641.36,2023-03-10
168891,307,Debit,873059.84,2023-01-23
179506,987,Debit,802455.23,2022-01-07
159365,484,Credit,181315.3,2019-04-09
124589,211,Credit,349796.25,2019-05-13
139580,1429,Credit,430223.05,2020-12-29
192760,827,Debit,257040.73,2021-06-28
168051,1101,Credit,168781.51,2023-05-22
148606,556,Debit,432461.37,2020-01-06
174398,610,Debit,188169.85,2024-01-04
134709,34,Credit,929137.44,2021-06-14
188810,49,Credit,877039.81,2022-08-16
150203,784,Debit,251858.91,2021-08-15
183193,649,Debit,117881.67,2023-08-02
164019,766,Credit,886628.12,2023-01-25
164791,809,Debit,823984.89,2023-10-09
161137,45,Credit,328559.38,2019-06-21
113733,1393,Credit,670365.65,2020-04-04
193448,1292,Credit,802370.42,2020-10-24
128401,903,Debit,324903.64,2023-03-24
108914,741,Debit,146455.44,2023-07-28
156581,583,Debit,719816.86,2019-12-02
168076,1222,Debit,623965.26,2020-05-02
148710,929,Credit,475029.55,2019-04-19
114210,1270,Debit,604672.3,2024-02-09
121549,326,Debit,167161.16,2020-10-25
174052,404,Credit,382288.77,2021-05-20
103229,1193,Debit,86780.59,2022-03-01
195043,397,Credit,620402.09,2024-02-24
194948,766,Debit,134890.94,2023-08-13
165648,1151,Debit,432532.19,2020-02-11
173271,642,Credit,622316.55,2020-07-12
195838,555,Debit,148824.54,2021-06-01
187174,769,Debit,375948.01,2023-07-24
183502,1108,Credit,316693.65,2020-03-30
138430,795,Credit,996530.56,2019-12-16
157754,996,Credit,845852.37,2020-03-01
195492,1435,Credit,1806.57,2020-11-26
172048,1062,Credit,323179.5,2023-08-12
151353,776,Credit,19406.41,2019-05-28
175254,387,Debit,825163.46,2020-12-01
159890,1027,Credit,371000.69,2020-05-04
177241,168,Debit,404926.19,2022-02-25
120218,1264,Debit,856698.74,2022-02-25
187056,1207,Debit,99430.0,2019-10-15
161448,339,Debit,106355.44,2021-05-23
167599,849,Credit,579933.04,2022-05-23
155165,1346,Debit,428627.76,2019-09-21
164381,865,Debit,730019.18,2023-05-24
115260,883,Debit,328253.01,2020-12-18
157422,275,Credit,328282.06,2019-04-10
116078,1272,Credit,937488.15,2023-02-21
114027,153,Credit,336414.45,2022-04-10
168360,285,Debit,965392.69,2024-03-09
141831,475,Credit,157497.77,2022-05-22
189905,218,Credit,356904.73,2021-01-07
108804,1069,Credit,395050.96,2022-01-01
163851,448,Credit,558511.01,2021-11-07
179269,498,Debit,652789.61,2022-07-24
176979,1351,Debit,533795.38,2023-07-11
130927,300,Credit,104663.87,2023-12-11
106114,283,Debit,201288.97,2023-02-28
140272,249,Credit,886957.39,2022-04-10
133345,1393,Credit,467909.27,2020-02-20
197109,866,Debit,55573.56,2021-11-08
138102,798,Debit,14152.99,2019-09-17
164226,468,Credit,768652.31,2020-02-19
124401,532,Credit,471844.22,2022-08-12
124973,1157,Debit,932435.47,2022-09-05
160164,1274,Credit,498358.56,2020-12-06
163423,258,Credit,614799.65,2023-04-12
170431,492,Credit,982906.29,2023-09-07
110566,736,Credit,890521.56,2019-08-08
170831,1046,Credit,824219.15,2022-12-31
109907,1155,Credit,480038.47,2023-12-27
109728,361,Credit,334885.32,2024-02-06
159482,1457,Credit,605905.91,2021-01-06
184044,162,Debit,618604.21,2023-11-23
131650,919,Debit,162517.45,2019-12-10
113825,889,Debit,706969.16,2022-02-08
186598,64,Debit,411556.31,2023-08-17
140923,1416,Credit,233090.54,2023-09-25
157119,938,Debit,256606.15,2021-03-08
199665,980,Debit,544207.61,2023-06-04
194265,1055,Credit,227965.16,2019-06-21
120632,953,Credit,845482.8,2023-11-07
150951,587,Debit,471370.36,2019-04-28
180008,614,Debit,152183.23,2023-10-28
169909,189,Credit,979444.28,2019-06-16
108317,603,Debit,314838.15,2022-01-14
141403,454,Debit,622015.93,2023-01-10
103927,1319,Debit,381734.48,2019-06-30
102285,1216,Credit,696220.9,2019-07-30
192409,1382,Debit,208499.18,2023-12-11
141958,167,Debit,797691.01,2023-01-06
164143,686,Debit,779396.74,2019-12-03
190211,662,Credit,235499.98,2023-09-12
169763,312,Debit,928950.61,2022-12-31
188328,1361,Debit,787727.34,2023-12-29
182270,1363,Debit,145710.63,2021-03-29
184508,700,Debit,841106.41,2023-07-26
113998,803,Credit,466802.32,2022-05-27
178505,994,Debit,218424.52,2019-10-20
110333,365,Credit,900912.81,2023-01-28
118624,1216,Debit,298910.09,2023-12-25
176196,598,Debit,529380.87,2021-03-19
192159,964,Credit,904704.44,2021-01-17
146168,1339,Debit,263058.96,2022-06-23
194878,1423,Debit,435832.73,2023-06-11
122545,306,Debit,377761.29,2022-07-07
125593,1402,Debit,374463.34,2023-01-27
114467,1316,Credit,747025.01,2022-06-28
179649,87,Debit,93214.45,2019-12-18
153967,1268,Debit,895935.89,2021-02-01
193149,741,Credit,966602.84,2024-01-03
163697,766,Debit,839779.6,2022-01-04
161491,615,Debit,630903.5,2020-12-07
183060,1410,Debit,546748.89,2023-05-22
141676,692,Credit,845038.39,2023-10-14
124714,1010,Debit,783721.47,2021-05-02
195211,223,Credit,953765.96,2022-08-20
158847,976,Debit,583748.3,2023-06-10
195516,229,Debit,848771.72,2021-01-07
163034,116,Credit,924740.03,2021-09-24
165891,816,Debit,701742.61,2020-04-17
180744,255,Debit,347681.42,2019-11-05
129915,118,Credit,681292.03,2019-04-21
159681,1190,Debit,86030.45,2019-09-28
171435,1264,Debit,341594.32,2023-07-08
109236,382,Debit,649774.38,2023-11-12
152567,1224,Debit,628848.04,2021-02-01
139247,417,Debit,829515.88,2023-07-14
186043,1213,Credit,591364.57,2019-12-19
180067,547,Debit,646711.83,2022-03-04
193560,406,Debit,977815.93,2020-07-03
181509,845,Debit,430286.57,2020-02-26
135140,165,Credit,687074.69,2023-02-03
125297,108,Credit,680032.42,2019-06-24
192671,1355,Credit,663158.19,2023-02-13
120428,1289,Debit,112895.09,2023-04-30
195425,363,Debit,895081.02,2022-06-17
116571,78,Debit,676676.64,2022-08-27
176986,1120,Credit,876362.3,2020-05-31
155166,841,Debit,321770.91,2021-04-14
139753,253,Debit,508287.59,2021-09-28
121729,439,Credit,430340.33,2020-09-28
131157,190,Debit,830187.57,2019-12-10
109501,1149,Credit,155893.47,2021-12-22
185417,1450,Debit,432603.96,2023-01-30
164867,1074,Credit,637486.65,2024-02-02
102363,1166,Credit,804621.92,2020-09-01
136076,1027,Debit,79629.33,2023-05-11
180967,1214,Credit,577559.28,2022-12-19
141523,864,Debit,820842.03,2020-06-01
115050,724,Debit,634538.27,2023-09-10
114173,614,Debit,493841.07,2022-03-28
183718,1465,Debit,428452.72,2020-08-25
106611,1380,Credit,894210.28,2020-04-12
160699,216,Credit,835615.43,2024-02-12
183789,775,Credit,988856.63,2021-03-07
147061,1290,Debit,346306.53,2020-12-28
134721,1402,Debit,81506.25,2021-10-29
100421,702,Credit,820670.31,2023-05-08
129995,517,Credit,626690.81,2022-01-27
112847,1080,Debit,561708.09,2020-02-04
150836,1165,Credit,388522.55,2022-10-18
142318,282,Debit,738180.9,2023-05-14
131340,1017,Debit,503386.08,2022-10-11
105607,211,Credit,651529.28,2023-09-10
100485,294,Debit,182088.92,2020-11-02
163036,402,Debit,65503.95,2020-09-15
195720,1137,Debit,64833.58,2020-08-18
152092,89,Credit,195684.36,2022-05-27
197598,1032,Debit,809914.98,2022-07-12
192131,223,Credit,189918.78,2021-05-09
150671,43,Debit,934161.09,2019-12-28
132845,686,Credit,526184.21,2023-05-31
144774,1364,Debit,685237.36,2023-03-06
107999,541,Debit,728754.62,2020-08-13
142075,750,Credit,740319.9,2019-12-30
118330,1323,Debit,379300.79,2023-03-10
160219,1492,Credit,298949.74,2024-02-19
187869,120,Credit,302079.0,2023-01-07
197302,1323,Debit,961616.8,2020-02-16
139982,912,Debit,622468.26,2022-02-16
165935,145,Debit,16227.74,2021-05-19
197564,1205,Debit,441908.41,2022-05-04
185063,541,Credit,900304.18,2023-04-29
102686,116,Credit,154636.56,2019-04-05
153312,1183,Debit,704124.12,2021-04-19
104221,581,Credit,506217.46,2021-04-26
148987,407,Credit,911815.64,2023-01-24
107590,417,Credit,459404.67,2021-01-13
143893,1195,Credit,360079.0,2019-05-24
102861,995,Debit,967601.36,2022-08-11
103755,595,Credit,460015.64,2022-03-27
192631,1119,Credit,315033.4,2021-11-25
199052,56,Debit,6701.39,2023-03-30
121526,553,Credit,84953.03,2022-11-25
123749,1440,Debit,973980.81,2021-06-05
177841,1025,Credit,322569.78,2023-04-11
154598,992,Credit,581779.25,2021-06-18
154713,85,Credit,516065.87,2022-11-04
193527,562,Credit,753487.15,2022-12-31
156324,202,Debit,399885.6,2020-08-29
187201,539,Credit,720717.15,2020-12-17
124800,625,Credit,298094.18,2023-08-24
171111,150,Debit,813187.44,2020-03-21
118473,169,Credit,551080.98,2023-07-07
182699,250,Debit,863406.52,2022-05-18
123539,295,Credit,246211.91,2020-06-13
195635,861,Credit,878456.17,2024-04-03
155984,612,Credit,250184.38,2022-12-07
119971,760,Debit,652803.83,2019-04-07
160062,1284,Credit,127088.14,2020-09-04
146154,203,Debit,54479.16,2024-02-25
196866,1205,Debit,440208.21,2022-09-25
140746,1382,Credit,91099.02,2021-07-13
186797,1482,Debit,926270.7,2021-02-08
113983,1065,Credit,984684.46,2022-10-13
165451,862,Credit,214775.11,2020-02-26
171051,1309,Credit,794761.32,2022-04-21
185462,62,Credit,220805.21,2023-05-01
150563,819,Credit,54082.34,2019-09-29
165857,290,Debit,523739.73,2020-06-30
196895,1462,Debit,441981.18,2023-02-15
109354,903,Debit,166836.23,2020-04-10
150822,88,Debit,519879.52,2021-01-28
108780,473,Credit,822598.11,2019-11-20
143398,1009,Debit,612632.14,2022-01-31
145060,976,Credit,268873.59,2024-02-16
163046,1284,Credit,696541.07,2024-02-05
114360,362,Credit,489350.64,2020-01-09
173899,1342,Credit,200293.2,2021-05-18
161733,1058,Credit,98173.2,2024-03-25
191624,229,Debit,98185.6,2020-03-06
108127,1183,Debit,775828.72,2020-09-21
186947,543,Debit,654186.65,2023-01-11
163071,574,Credit,208560.78,2022-04-26
113843,1248,Debit,687632.84,2022-09-13
147479,1263,Debit,948820.79,2022-06-24
178735,1007,Credit,906695.09,2024-03-24
132537,681,Debit,905068.33,2023-12-12
131401,663,Debit,39107.59,2022-10-22
116390,1242,Credit,557546.73,2022-01-19
137203,782,Debit,496424.32,2019-09-27
187823,1018,Credit,580543.52,2022-10-06
115361,762,Debit,140253.28,2023-02-28
123483,480,Credit,559938.92,2019-07-26
141323,298,Debit,134701.73,2022-11-13
199306,455,Credit,511240.56,2020-08-12
193745,41,Credit,235733.27,2021-01-22
120612,1285,Credit,752235.68,2021-10-21
130349,1040,Debit,475699.37,2021-05-08
172016,270,Debit,807499.92,2019-12-04
136900,331,Debit,542703.55,2022-08-20
150315,1285,Debit,952482.73,2022-10-04
157983,51,Debit,444303.69,2021-01-06
183818,1358,Credit,500059.09,2023-05-26
123460,197,Credit,929358.39,2024-02-06
184463,732,Debit,125507.56,2020-01-16
182918,1283,Debit,236344.66,2024-02-18
198401,1090,Credit,337519.3,2019-05-22
136071,1374,Debit,260235.56,2020-09-15
164329,51,Credit,976692.51,2023-09-06
110767,1077,Debit,344881.28,2024-03-29
141118,969,Credit,729538.04,2023-10-04
157390,13,Credit,57307.16,2024-02-27
132384,749,Debit,861514.11,2021-10-16
161246,407,Debit,840058.16,2021-10-15
114907,185,Debit,442896.93,2020-05-25
113306,220,Credit,100484.62,2022-07-23
111379,267,Credit,810565.77,2024-01-04
107483,1096,Credit,621342.66,2020-07-04
154070,728,Debit,545897.17,2019-06-05
195444,231,Debit,582851.4,2021-02-11
165112,264,Credit,566685.26,2022-12-01
189205,1193,Credit,568743.65,2019-05-10
122839,639,Debit,663569.16,2019-11-09
199768,1303,Debit,948618.25,2023-12-21
133969,100,Credit,131532.41,2023-11-14
111367,1118,Credit,912021.4,2021-03-08
129804,61,Credit,693263.44,2020-12-15
189401,1277,Debit,697579.22,2021-11-22
143877,163,Credit,390511.93,2020-04-29
166717,693,Credit,684556.71,2020-12-10
100115,22,Credit,285145.08,2020-06-10
189617,774,Debit,664495.77,2021-03-12
133844,146,Debit,197656.12,2020-03-15
140890,1163,Credit,802757.34,2020-07-06
116314,193,Debit,932774.6,2021-08-16
126029,458,Debit,101241.38,2022-10-02
119259,425,Debit,708626.84,2019-07-13
133182,937,Debit,456875.1,2022-09-09
135161,53,Debit,589427.12,2020-03-21
168291,1010,Credit,33788.52,2020-12-09
137952,1453,Credit,260580.74,2022-01-26
151772,761,Debit,248172.5,2023-04-11
148859,1181,Credit,35774.66,2019-06-22
109668,1242,Debit,66274.53,2023-04-05
185729,301,Credit,577835.24,2022-07-19
133766,167,Debit,565969.31,2022-01-31
143849,1370,Debit,757404.79,2022-02-22
170617,294,Credit,645853.97,2020-04-27
139817,1281,Debit,415646.79,2023-06-23
136851,176,Debit,664416.41,2021-02-14
183480,350,Credit,878768.6,2022-07-31
192546,333,Credit,755398.92,2023-12-03
140633,593,Debit,230309.57,2022-07-17
196884,1451,Debit,534228.25,2023-06-08
111009,493,Credit,806628.22,2021-11-01
193465,343,Debit,204578.79,2021-02-13
137387,1463,Credit,130247.29,2020-06-16
197758,685,Debit,770895.5,2022-10-12
114658,141,Credit,392135.38,2021-01-05
127001,65,Credit,613659.07,2021-04-16
169569,327,Credit,951294.82,2022-09-24
123167,302,Debit,928189.58,2021-10-06
167604,709,Debit,100896.85,2022-10-13
190880,135,Credit,864328.17,2021-10-10
116201,534,Credit,800949.4,2020-02-21
121714,1032,Debit,442030.7,2020-09-24
185904,438,Debit,256416.84,2021-11-06
168251,945,Credit,244669.62,2022-05-02
128017,1289,Debit,190649.53,2024-01-22
159292,937,Credit,76598.61,2019-06-26
150058,909,Credit,187506.5,2020-06-20
134690,390,Credit,48189.84,2023-08-08
173713,756,Credit,617812.72,2021-03-24
105350,832,Debit,23849.66,2023-07-28
131379,983,Debit,548221.83,2021-09-11
186045,761,Credit,293679.19,2019-04-14
188325,945,Debit,503756.19,2021-07-23
190764,63,Debit,156458.3,2019-12-21
106262,1485,Debit,815775.93,2022-03-21
167767,810,Debit,700831.72,2022-11-11
148411,826,Credit,649308.02,2024-03-06
162275,357,Debit,404115.01,2020-08-23
192918,114,Debit,62855.08,2020-12-08
176287,1248,Credit,78146.14,2019-10-23
153300,97,Debit,88937.89,2019-10-16
